Value,Feature,feature_set
-0.00022892025944301064,home_team_home_lose_percentage_last_20_matches,Recent avg goal & win % (#: 65)
-0.00022892025944301064,home_team_home_win_percentage_last_30_matches,Recent avg goal & win % (#: 65)
-0.00019076688286917554,home_player_9_pc_2,Player attributes (#: 110)
-0.00015261350629532932,elo_difference,Recent Elo rating (#: 34)
-0.00011446012972151642,home_team_avg_goal_at_home_last_20_matches,Recent avg goal & win % (#: 65)
-7.630675314768132e-05,away_player_6_pc_5,Player attributes (#: 110)
-7.630675314768132e-05,away_player_7_pc_1,Player attributes (#: 110)
-3.815337657384621e-05,away_team_avg_goal_at_away_last_10_matches,Recent avg goal & win % (#: 65)
-3.815337657384621e-05,away_team_std_elo_last_60_matches,Recent Elo rating (#: 34)
-3.815337657384621e-05,home_player_9_pc_4,Player attributes (#: 110)
-3.815337657384621e-05,home_team_avg_elo_last_90_matches,Recent Elo rating (#: 34)
-3.815337657383511e-05,home_player_1_pc_1,Player attributes (#: 110)
-3.815337657383511e-05,home_player_8_pc_3,Player attributes (#: 110)
-3.3306690738754695e-17,home_team_avg_goal_at_home_last_30_matches,Recent avg goal & win % (#: 65)
-2.2204460492503132e-17,home_team_avg_oppnt_goal_at_home_last_90_matches,Recent avg goal & win % (#: 65)
0.0,away_player_10_pc_3,Player attributes (#: 110)
0.0,away_player_10_pc_4,Player attributes (#: 110)
0.0,away_player_11_pc_2,Player attributes (#: 110)
0.0,away_player_11_pc_4,Player attributes (#: 110)
0.0,away_player_11_pc_5,Player attributes (#: 110)
0.0,away_player_1_pc_4,Player attributes (#: 110)
0.0,away_player_2_pc_2,Player attributes (#: 110)
0.0,away_player_2_pc_3,Player attributes (#: 110)
0.0,away_player_3_pc_1,Player attributes (#: 110)
0.0,away_player_3_pc_2,Player attributes (#: 110)
0.0,away_player_4_pc_1,Player attributes (#: 110)
0.0,away_player_4_pc_2,Player attributes (#: 110)
0.0,away_player_4_pc_5,Player attributes (#: 110)
0.0,away_player_6_pc_2,Player attributes (#: 110)
0.0,away_player_6_pc_3,Player attributes (#: 110)
0.0,away_player_6_pc_4,Player attributes (#: 110)
0.0,away_player_7_pc_4,Player attributes (#: 110)
0.0,away_player_8_pc_2,Player attributes (#: 110)
0.0,away_player_9_pc_5,Player attributes (#: 110)
0.0,away_team_avg_goal_at_away_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_3_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_5_matches,Recent avg goal & win % (#: 65)
0.0,away_team_avg_oppnt_goal_at_away_last_90_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_10_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_lose_percentage_last_90_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_win_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_win_percentage_last_3_matches,Recent avg goal & win % (#: 65)
0.0,away_team_away_win_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,away_team_buildUpPlayPassing,Team attributes (#: 17)
0.0,away_team_buildUpPlaySpeed,Team attributes (#: 17)
0.0,away_team_chanceCreationCrossing,Team attributes (#: 17)
0.0,away_team_chanceCreationPassing,Team attributes (#: 17)
0.0,away_team_chanceCreationShooting,Team attributes (#: 17)
0.0,away_team_defenceAggression,Team attributes (#: 17)
0.0,away_team_defencePressure,Team attributes (#: 17)
0.0,away_team_std_elo_last_1_matches,Recent Elo rating (#: 34)
0.0,away_team_std_elo_last_30_matches,Recent Elo rating (#: 34)
0.0,away_team_std_elo_last_3_matches,Recent Elo rating (#: 34)
0.0,away_team_std_elo_last_90_matches,Recent Elo rating (#: 34)
0.0,home_player_1_pc_2,Player attributes (#: 110)
0.0,home_player_2_pc_5,Player attributes (#: 110)
0.0,home_player_3_pc_2,Player attributes (#: 110)
0.0,home_player_3_pc_5,Player attributes (#: 110)
0.0,home_player_7_pc_2,Player attributes (#: 110)
0.0,home_player_7_pc_5,Player attributes (#: 110)
0.0,home_player_8_pc_5,Player attributes (#: 110)
0.0,home_team_avg_goal_at_home_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_goal_at_home_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_5_matches,Recent avg goal & win % (#: 65)
0.0,home_team_avg_oppnt_goal_at_home_last_60_matches,Recent avg goal & win % (#: 65)
0.0,home_team_buildUpPlayPassing,Team attributes (#: 17)
0.0,home_team_buildUpPlaySpeed,Team attributes (#: 17)
0.0,home_team_chanceCreationCrossing,Team attributes (#: 17)
0.0,home_team_chanceCreationShooting,Team attributes (#: 17)
0.0,home_team_defenceAggression,Team attributes (#: 17)
0.0,home_team_defencePressure,Team attributes (#: 17)
0.0,home_team_defenceTeamWidth,Team attributes (#: 17)
0.0,home_team_home_lose_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_lose_percentage_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_lose_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_lose_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_1_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_3_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_5_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0,home_team_home_win_percentage_last_90_matches,Recent avg goal & win % (#: 65)
0.0,home_team_std_elo_last_10_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_1_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_3_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_60_matches,Recent Elo rating (#: 34)
0.0,home_team_std_elo_last_90_matches,Recent Elo rating (#: 34)
3.81533765737907e-05,home_team_avg_elo_last_20_matches,Recent Elo rating (#: 34)
3.81533765738018e-05,away_team_avg_goal_at_away_last_90_matches,Recent avg goal & win % (#: 65)
3.81533765738018e-05,home_player_5_pc_3,Player attributes (#: 110)
3.81533765738018e-05,home_player_6_pc_2,Player attributes (#: 110)
3.81533765738129e-05,home_player_4_pc_2,Player attributes (#: 110)
3.8153376573824e-05,away_player_4_pc_4,Player attributes (#: 110)
3.8153376573824e-05,away_player_7_pc_2,Player attributes (#: 110)
3.8153376573824e-05,away_team_avg_goal_at_away_last_3_matches,Recent avg goal & win % (#: 65)
3.8153376573824e-05,home_player_10_pc_2,Player attributes (#: 110)
3.8153376573824e-05,home_player_3_pc_4,Player attributes (#: 110)
3.8153376573824e-05,home_team_avg_oppnt_goal_at_home_last_30_matches,Recent avg goal & win % (#: 65)
3.8153376573824e-05,home_team_home_lose_percentage_last_90_matches,Recent avg goal & win % (#: 65)
7.63067531476147e-05,home_player_9_pc_1,Player attributes (#: 110)
7.63067531476369e-05,away_player_5_pc_1,Player attributes (#: 110)
7.63067531476369e-05,away_player_8_pc_5,Player attributes (#: 110)
7.6306753147648e-05,away_player_2_pc_4,Player attributes (#: 110)
7.6306753147648e-05,away_player_2_pc_5,Player attributes (#: 110)
7.6306753147648e-05,away_team_avg_goal_at_away_last_5_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_avg_oppnt_goal_at_away_last_20_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_away_lose_percentage_last_20_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_away_lose_percentage_last_3_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,away_team_away_win_percentage_last_90_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,home_player_11_pc_2,Player attributes (#: 110)
7.6306753147648e-05,home_player_8_pc_2,Player attributes (#: 110)
7.6306753147648e-05,home_player_8_pc_4,Player attributes (#: 110)
7.6306753147648e-05,home_team_avg_goal_at_home_last_10_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,home_team_avg_oppnt_goal_at_home_last_20_matches,Recent avg goal & win % (#: 65)
7.6306753147648e-05,home_team_std_elo_last_5_matches,Recent Elo rating (#: 34)
0.00011446012972143871,home_player_11_pc_3,Player attributes (#: 110)
0.00011446012972144981,home_team_avg_elo_last_30_matches,Recent Elo rating (#: 34)
0.00011446012972146091,away_player_6_pc_1,Player attributes (#: 110)
0.00011446012972146091,home_player_7_pc_4,Player attributes (#: 110)
0.00011446012972146091,home_team_avg_elo_last_60_matches,Recent Elo rating (#: 34)
0.00011446012972147202,away_player_8_pc_3,Player attributes (#: 110)
0.00011446012972147202,home_player_2_pc_2,Player attributes (#: 110)
0.00011446012972147202,home_player_6_pc_4,Player attributes (#: 110)
0.0001526135062952738,home_player_11_pc_4,Player attributes (#: 110)
0.00015261350629528492,home_player_2_pc_3,Player attributes (#: 110)
0.00015261350629528492,home_team_avg_elo_last_1_matches,Recent Elo rating (#: 34)
0.000152613506295296,away_player_7_pc_3,Player attributes (#: 110)
0.000152613506295296,home_player_10_pc_4,Player attributes (#: 110)
0.000152613506295296,home_player_1_pc_4,Player attributes (#: 110)
0.000152613506295296,home_player_4_pc_4,Player attributes (#: 110)
0.000152613506295296,home_team_chanceCreationPassing,Team attributes (#: 17)
0.000152613506295296,home_team_std_elo_last_30_matches,Recent Elo rating (#: 34)
0.00019076688286909783,away_team_avg_elo_last_10_matches,Recent Elo rating (#: 34)
0.00019076688286912002,away_player_1_pc_5,Player attributes (#: 110)
0.00019076688286912002,away_player_9_pc_2,Player attributes (#: 110)
0.00019076688286912002,away_player_9_pc_4,Player attributes (#: 110)
0.00019076688286912002,home_player_5_pc_2,Player attributes (#: 110)
0.00019076688286912002,home_player_9_pc_3,Player attributes (#: 110)
0.00019076688286912002,home_player_9_pc_5,Player attributes (#: 110)
0.00019076688286912002,home_team_home_lose_percentage_last_10_matches,Recent avg goal & win % (#: 65)
0.00019076688286912002,home_team_home_win_percentage_last_10_matches,Recent avg goal & win % (#: 65)
0.00022892025944293293,D_odd_max,Betting odds (#: 13)
0.00022892025944293293,home_player_2_pc_1,Player attributes (#: 110)
0.00022892025944294404,away_player_10_pc_5,Player attributes (#: 110)
0.00022892025944294404,away_player_7_pc_5,Player attributes (#: 110)
0.00022892025944294404,away_player_8_pc_4,Player attributes (#: 110)
0.00022892025944294404,away_team_std_elo_last_20_matches,Recent Elo rating (#: 34)
0.00022892025944294404,home_player_10_pc_5,Player attributes (#: 110)
0.00022892025944294404,home_player_11_pc_5,Player attributes (#: 110)
0.00022892025944294404,home_player_4_pc_5,Player attributes (#: 110)
0.00022892025944294404,home_team_home_lose_percentage_last_30_matches,Recent avg goal & win % (#: 65)
0.00022892025944294404,home_team_std_elo_last_20_matches,Recent Elo rating (#: 34)
0.00026707363601674583,D_odd_std,Betting odds (#: 13)
0.00026707363601674583,home_player_11_pc_1,Player attributes (#: 110)
0.00026707363601676806,away_player_11_pc_1,Player attributes (#: 110)
0.00026707363601676806,away_player_11_pc_3,Player attributes (#: 110)
0.00026707363601676806,away_player_5_pc_2,Player attributes (#: 110)
0.00026707363601676806,away_team_avg_oppnt_goal_at_away_last_10_matches,Recent avg goal & win % (#: 65)
0.00026707363601676806,away_team_avg_oppnt_goal_at_away_last_60_matches,Recent avg goal & win % (#: 65)
0.00026707363601676806,home_team_avg_goal_at_home_last_60_matches,Recent avg goal & win % (#: 65)
0.000305227012590592,away_player_10_pc_2,Player attributes (#: 110)
0.000305227012590592,away_team_std_elo_last_5_matches,Recent Elo rating (#: 34)
0.000305227012590592,home_team_avg_elo_last_3_matches,Recent Elo rating (#: 34)
0.00034338038916439386,home_player_5_pc_4,Player attributes (#: 110)
0.0003433803891644049,home_player_3_pc_3,Player attributes (#: 110)
0.00034338038916441603,away_player_3_pc_5,Player attributes (#: 110)
0.00034338038916441603,home_player_5_pc_5,Player attributes (#: 110)
0.00038153376573822894,away_player_3_pc_3,Player attributes (#: 110)
0.00038153376573824005,away_player_5_pc_5,Player attributes (#: 110)
0.00038153376573824005,away_team_defenceTeamWidth,Team attributes (#: 17)
0.00038153376573824005,home_player_2_pc_4,Player attributes (#: 110)
0.00038153376573824005,home_player_6_pc_5,Player attributes (#: 110)
0.00041968714231205295,home_team_avg_goal_at_home_last_5_matches,Recent avg goal & win % (#: 65)
0.00041968714231206407,away_player_2_pc_1,Player attributes (#: 110)
0.00041968714231206407,away_team_avg_goal_at_away_last_60_matches,Recent avg goal & win % (#: 65)
0.00041968714231206407,away_team_avg_oppnt_goal_at_away_last_30_matches,Recent avg goal & win % (#: 65)
0.00041968714231206407,home_player_8_pc_1,Player attributes (#: 110)
0.00041968714231206407,home_team_home_win_percentage_last_20_matches,Recent avg goal & win % (#: 65)
0.0004578405188858881,away_player_1_pc_1,Player attributes (#: 110)
0.0004578405188858881,away_player_9_pc_3,Player attributes (#: 110)
0.0004578405188858881,home_player_1_pc_5,Player attributes (#: 110)
0.000495993895459701,home_player_1_pc_3,Player attributes (#: 110)
0.000495993895459712,D_odd_mean,Betting odds (#: 13)
0.000495993895459712,away_player_5_pc_3,Player attributes (#: 110)
0.000495993895459712,away_team_avg_elo_last_60_matches,Recent Elo rating (#: 34)
0.0005341472720335361,home_player_10_pc_3,Player attributes (#: 110)
0.0005341472720335361,home_team_avg_goal_at_home_last_90_matches,Recent avg goal & win % (#: 65)
0.0005723006486073601,away_player_9_pc_1,Player attributes (#: 110)
0.0005723006486073601,away_team_away_lose_percentage_last_30_matches,Recent avg goal & win % (#: 65)
0.0005723006486073601,away_team_away_win_percentage_last_30_matches,Recent avg goal & win % (#: 65)
0.0005723006486073601,away_team_std_elo_last_10_matches,Recent Elo rating (#: 34)
0.0005723006486073601,home_player_4_pc_1,Player attributes (#: 110)
0.0005723006486073601,home_player_4_pc_3,Player attributes (#: 110)
0.0005723006486073601,home_player_5_pc_1,Player attributes (#: 110)
0.0005723006486073601,home_player_7_pc_1,Player attributes (#: 110)
0.0005723006486073601,home_team_avg_oppnt_goal_at_home_last_10_matches,Recent avg goal & win % (#: 65)
0.000610454025181184,away_player_4_pc_3,Player attributes (#: 110)
0.000610454025181184,away_team_avg_elo_last_30_matches,Recent Elo rating (#: 34)
0.000610454025181184,away_team_away_win_percentage_last_20_matches,Recent avg goal & win % (#: 65)
0.000610454025181184,home_player_10_pc_1,Player attributes (#: 110)
0.000610454025181184,home_player_3_pc_1,Player attributes (#: 110)
0.0006104540251812063,A_odd_std,Betting odds (#: 13)
0.0006486074017550081,away_player_5_pc_4,Player attributes (#: 110)
0.0006486074017550081,away_team_avg_elo_last_3_matches,Recent Elo rating (#: 34)
0.0006486074017550081,home_player_6_pc_1,Player attributes (#: 110)
0.0006486074017550081,home_player_7_pc_3,Player attributes (#: 110)
0.0006486074017550192,away_team_avg_elo_last_90_matches,Recent Elo rating (#: 34)
0.0006867607783288321,away_player_3_pc_4,Player attributes (#: 110)
0.0006867607783288321,home_team_avg_elo_last_10_matches,Recent Elo rating (#: 34)
0.0006867607783288432,away_player_10_pc_1,Player attributes (#: 110)
0.0006867607783288432,away_team_away_win_percentage_last_10_matches,Recent avg goal & win % (#: 65)
0.0007249141549026561,away_player_1_pc_2,Player attributes (#: 110)
0.0007249141549026561,away_player_1_pc_3,Player attributes (#: 110)
0.0007249141549026561,home_team_avg_elo_last_5_matches,Recent Elo rating (#: 34)
0.0007249141549026672,away_team_avg_goal_at_away_last_30_matches,Recent avg goal & win % (#: 65)
0.0007249141549026672,home_player_6_pc_3,Player attributes (#: 110)
0.000763067531476469,away_team_avg_elo_last_1_matches,Recent Elo rating (#: 34)
0.0007630675314764912,away_team_avg_elo_last_20_matches,Recent Elo rating (#: 34)
0.0008775276611979633,away_player_8_pc_1,Player attributes (#: 110)
0.0008775276611979633,away_team_avg_elo_last_5_matches,Recent Elo rating (#: 34)
0.0009156810377717983,A_odd_min,Betting odds (#: 13)
0.0009538344143456223,A_odd_mean,Betting odds (#: 13)
0.0009538344143456334,away_team_avg_goal_at_away_last_20_matches,Recent avg goal & win % (#: 65)
0.0011446012972147423,away_team_away_win_percentage_last_60_matches,Recent avg goal & win % (#: 65)
0.0011827546737885886,D_odd_min,Betting odds (#: 13)
0.0013353681800838846,H_odd_std,Betting odds (#: 13)
0.001755055322395993,H_odd_max,Betting odds (#: 13)
0.002594429607020177,H_odd_mean,Betting odds (#: 13)
0.002861503243036967,A_odd_max,Betting odds (#: 13)
0.003052270125906109,H_odd_min,Betting odds (#: 13)
